,UKESM1-0-LL-r1i1p1f2,IPSL-CM6A-LR-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,UKESM1-0-LL-r4i1p1f2,GFDL-ESM4-r1i1p1f1,CanESM5-r1i1p1f1
1999-11-01,11.75444120441797,11.537728251495086,11.217312447009787,11.04805175504694,12.655259009580266,11.982258429625366,11.998766499130015,13.35976583554588,11.658135574408561
1999-12-01,10.356411966230368,10.326824574401476,9.43552250348938,9.619337295161849,9.673471274560502,10.546918179636702,9.224830598190652,12.47500659204673,10.308990971842329
2000-01-01,8.32685805622179,9.529203158848226,9.557788109258393,8.957867104565413,8.906293869145848,8.978606593090289,8.493666931671845,10.993352507681443,9.697769144828271
2000-02-01,7.57325260226418,10.444226390798773,8.375824178064574,8.733617004682126,7.892086878980602,7.5961381529176775,8.572042697909254,10.196996314799419,9.929553561201324
2000-03-01,8.667063131834082,11.084545104179952,9.580890684764963,9.141995761816467,8.16835799185555,7.680497276157508,8.384760875338168,10.3698839375487,10.750464249870472
2000-04-01,9.06027158385,11.589958028706524,10.768902926324632,9.678738512301383,8.805615558221696,8.224561963509768,8.866959494155578,10.713395383544238,10.433655697558901
2000-05-01,10.409751731130127,13.85605530056054,12.880789699778344,11.781018313005875,11.124747217389483,10.018579029757138,12.523336895885885,12.807519775900426,11.828328699830463
2000-06-01,12.55041210922589,15.204076114609224,14.88893199964339,13.465456201737904,12.564476708789744,11.954656436213362,13.415954063249993,14.960415983937144,13.991368436275428
2000-07-01,14.323856032693849,15.104564924468837,15.644625617873947,14.264654954374006,14.121815859533966,14.241962877207909,14.51515347550083,16.713799491610565,15.705848245155464
2000-08-01,14.659237111720635,15.46007633185757,16.130241211461833,15.564593927516556,15.269879196411765,15.31572705233348,16.558709702738312,16.471622232979332,15.900071163984745
2000-09-01,13.55079612643303,14.853326928613393,15.17772134121624,15.055897807910846,14.291222360137358,13.895284115877653,14.786330438576323,17.3311864466259,15.898584245831543
2000-10-01,12.270446046792385,13.331910066086301,12.917534081225426,13.747574895096733,12.380737961070105,13.551038063929438,12.389702253633068,14.623836940729456,14.428987703813354
2000-11-01,11.581169242010407,11.962850764336984,11.790849689601052,11.8330655311144,11.507513820106551,11.689257177941489,10.365280784868562,11.150896469137104,11.912363122943828
2000-12-01,10.52083476989243,9.775907702939122,11.0949013517961,10.551599962298779,10.383585229221863,10.307194819924408,9.949310466326287,9.781112611964108,10.767865894340067
2001-01-01,8.473675200895821,9.944036495065324,10.775170108771727,9.77963609324992,9.019521797738603,9.815725466700457,9.37132888721017,9.791780458036127,10.964726657215797
2001-02-01,8.700778662612569,9.572608638220224,10.604194031432463,9.2358177603049,8.242122733664804,8.71650563390861,9.385945793814994,9.44653946459782,10.747472849564815
2001-03-01,8.243799161426285,9.298049782943064,11.185729565908025,8.634299821834393,8.243475883272879,9.026610325692698,9.931632195982523,9.333897289775926,10.43443885328801
2001-04-01,10.002589726568832,10.086240105723409,10.97764488219184,9.26919993066678,8.649658670979816,10.178294811134565,10.884207661058841,9.49831104954676,10.574933690806265
2001-05-01,10.945322185514195,11.457120138760107,12.245902945894933,11.899174080983787,11.794507561413267,12.29979608811437,12.677450221847598,10.961300171547515,12.5681067195974
2001-06-01,12.94405130850468,13.473605311751196,13.879845579411429,13.672042916321864,13.566669766704564,14.292209871840305,13.425720850247455,12.34609849819116,13.67696843921161
2001-07-01,14.380408032831163,15.08019463825978,15.284504405132955,14.00265622339202,15.078896410091035,15.778433912043454,14.115466241252538,14.194228257932641,15.109089283519145
2001-08-01,14.110036653405054,15.405679754682458,15.389500131187555,14.188053884682656,15.311342115114416,15.80567091943174,16.059659273044993,15.56694426238626,15.978134141639174
2001-09-01,15.692166365627804,14.73107218531345,13.391042557399961,15.08284132125284,14.844568677858849,15.82004103371204,16.446399086451247,15.995470578905584,15.596538558236396
2001-10-01,13.665577768662455,13.339701107472152,12.886849102426195,13.681822779730147,13.428312554231026,14.962002575324762,14.059937179954705,14.351739565075837,13.838220079466796
