,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,GFDL-ESM4-r1i1p1f1,UKESM1-0-LL-r4i1p1f2
2006-11-01,8.995313888452777,8.592979234881634,8.640410497604396,7.8198783195165,7.646281666237649,8.032181288874073,9.080907785220909,8.839461119373366,9.001253629424273
2006-12-01,9.745204674075989,9.845252062707447,9.537975315778347,9.337510490558165,8.155838316211458,8.14081419380638,10.221465780586296,10.312244842753527,10.2273805541482
2007-01-01,9.293817503963616,10.708014356449587,9.392923173542936,10.320395435424613,8.417072609499558,8.484918324727094,10.401320664396287,9.429525129273822,11.742729676677028
2007-02-01,8.879944047833993,10.336444693654755,9.029331458496127,10.39461182880006,8.629071588493781,8.377404103984686,10.006828855766836,8.939935498517476,12.19564184556837
2007-03-01,8.392250451053773,9.84249426265844,9.253794638073154,10.02956318091596,8.359857002671022,7.807096642788888,8.735898544661211,8.506806475124034,11.696875363752113
2007-04-01,7.590603700965514,9.010867630170873,8.560197640416195,9.276600242106325,7.923175844841348,7.2012830693388175,7.9396080285107455,7.825212704134691,10.784486680782033
2007-05-01,6.861681366571382,8.204978869969514,7.900990185495982,8.450194921563584,7.260035362057973,6.524678430660376,7.268643601701927,6.824368699441723,9.959055903832082
2007-06-01,6.852310475477536,7.5116172484863855,7.526478735941418,7.820208328196554,6.9438152983899295,6.2891911376252905,6.8032787174102936,6.861947379879234,9.483342022712387
2007-07-01,7.152569739643631,7.196159490295584,7.47185521073233,7.4271584982117025,6.886541071552883,6.2338408172562465,6.961979312326488,7.359728502848742,9.097182071919416
2007-08-01,7.114447789987353,7.075819811129844,7.472192298672744,7.204933192941433,7.0854840678595625,6.346892466820138,7.043745550263214,7.379350970511776,8.766967895804036
2007-09-01,7.163721920808348,7.031226379171069,7.420492381547928,7.1045152766562785,6.966556238864688,6.4325348596072685,7.1158062320232975,7.669975465332334,8.633239184442518
2007-10-01,7.525644092235717,7.456915770360477,7.360846795826098,7.372886902658348,7.127835525956961,6.695553132072568,7.0283531008538125,8.310554102118623,8.735173461408342
2007-11-01,8.598960934809114,8.382753680376378,7.966769892224143,8.034790492179832,8.06533335702447,8.311645460627448,7.8557334444577505,8.28462016896443,9.474698521038915
2007-12-01,9.880704290793126,9.803584683249493,9.464192790977462,9.074599742821276,9.306394622992977,9.048673702300995,8.656345607045374,9.909518727603716,11.27202293341476
2008-01-01,10.321470506002255,10.14745512446062,10.370165173319512,9.707777582214328,9.554523461985903,8.780643020904716,9.516258075842913,10.408238710650393,11.335397787192138
2008-02-01,9.44041906236109,10.163702674051859,10.726103353409476,10.107287578443099,8.98892341705094,8.691451349737617,10.37026352486418,10.401176594242928,10.579889272684065
2008-03-01,8.59438538362005,9.64921705869004,10.553360494167755,9.884508118888867,8.406192383516817,8.575289446148998,10.2659786946699,9.642834486618481,10.434983637986136
2008-04-01,8.026675791001948,8.626860676276637,10.123221320514283,9.254436196707264,8.042878670091161,7.997173795998088,9.848736359607773,8.526078160026929,9.82409140653994
2008-05-01,7.222719669149878,7.853548002563717,9.25564208728361,8.452699412344192,7.2180971159408065,7.192394187741507,9.196826460485415,7.684300580152701,9.115718096953888
2008-06-01,7.1357547243689226,7.383709046620332,8.734464505775929,7.957692636024183,6.813669600035844,6.921290656766058,8.731444308916771,7.2516992695427955,8.540934775813442
2008-07-01,6.8169805289364245,7.245452603316064,8.520533925361592,7.7676439856826365,6.9920648146881685,6.9670621395111825,8.288386061048811,7.1352896063158715,8.256496324690467
2008-08-01,7.051968311702418,7.104978244662294,8.400467549221164,7.578600596694264,7.122843150034098,7.018031189236977,8.013688192258693,7.165743819485086,7.970106572918524
2008-09-01,7.035712981510048,7.1153221708847285,8.23693646629995,7.722722575932872,7.098416100628159,7.070687308897482,7.616359774172733,6.8702673381655215,7.707966127512123
2008-10-01,7.272093010510473,7.43015344463593,8.245883304765112,7.945925449194747,7.681225693414452,7.114196760712187,7.398248005123067,6.703368280125236,7.963453020539568
2008-11-01,7.641706817909326,8.087956846379107,9.348113005338227,8.498672329144492,8.718287194318032,7.8116112529066655,8.080700682863453,8.401625887719232,8.46313677522642
2008-12-01,8.823152109715108,9.07859783496406,10.009995567321855,9.539458186616526,9.563009772623234,9.086158347169764,9.10167471362278,10.177934544726046,9.09340524864411
2009-01-01,10.173986383608256,9.405187253675999,9.577941336751381,10.179594123968863,9.833147300716,9.711914990415805,10.10056309779385,10.885142160142253,9.007124599266241
2009-02-01,11.512431448243381,9.114634501214733,9.540643489088916,10.363171494820008,9.292299033268153,9.721794852375108,10.349676640732133,10.602303534274904,9.139203445061009
2009-03-01,11.57668939474113,8.653363648012814,9.21046262380532,10.205952520847807,8.249657804986441,9.358692109249487,10.332677570468716,10.170505179452324,8.805376563471151
2009-04-01,10.956266193415964,7.9787433941539225,8.84910635454591,9.441864328461016,7.412383566530068,8.815166085651134,9.494310876293884,9.193744171858123,8.180961468371132
2009-05-01,9.926757143398246,7.4536877659004155,8.207969513218531,8.640258392834019,6.813933984171885,8.125753763979082,8.657217958075893,8.37490825895857,7.529238111281274
2009-06-01,8.887038313655482,7.001762029178997,7.577225152213704,8.285941981290918,6.370953423954963,7.562540418322557,8.350372662119067,7.84650598057793,7.244442100554092
2009-07-01,8.421799390254407,6.9679191247565315,7.452275207113717,8.05095795091153,6.432406997288622,7.608088291423122,8.153465430672783,7.470539604246004,7.199651547395951
2009-08-01,8.227439128251293,6.8604087618520575,7.381206596910754,7.799512589928208,6.395239427322153,7.568799098626608,7.795330794510803,7.524999982256907,7.358157905394241
2009-09-01,8.050245860593504,7.09111749992296,7.164990147510937,7.697271338521304,6.372060050519928,7.457172677204884,7.481915467773592,7.112763788027365,7.301670613066194
2009-10-01,8.17418993457102,7.502056145034612,7.432165480988193,7.669841878142088,6.226218088955487,7.653157196248784,8.408011080630999,7.433422065007204,7.407353473783542
2009-11-01,8.913802682566413,8.273532487530442,8.649511420309054,8.710333207337895,7.194470104209232,8.174419521011039,8.901706919604328,8.166230930451022,8.60775955605993
2009-12-01,10.439715656491748,9.44934849454175,9.963000328367297,9.570745832401238,7.974087321147215,8.646578759147262,10.15138360184388,9.654708820696495,9.761684438719847
2010-01-01,11.574921030349698,10.227683724780873,9.94128522894881,9.764150165162485,8.929727517856875,8.744425874193087,10.641794967594226,9.548934825455936,9.800132537769821
2010-02-01,11.415311346777965,10.225427265078693,9.579148034549203,10.121471399318928,8.899157123526459,8.343096985201226,10.183034211611355,9.746510258999194,9.619370426863348
2010-03-01,11.405949252675311,9.754710630322078,9.39185170666619,9.7410834294314,8.45130032929497,7.738942264881122,9.606589345856667,9.660556200311362,9.421959757599668
2010-04-01,10.636483850066904,9.181649456507394,8.620280133652589,9.630838693651254,7.885282224373251,7.189448020395019,9.102098247312835,9.222987997661349,8.776005700833064
2010-05-01,9.704492637971626,8.471500860138491,7.861130851705787,9.115864010988268,7.358434086920973,6.341868340371432,8.57903819018419,8.520797994180983,7.949890071352876
2010-06-01,8.955697289966944,8.23609941901957,7.437099852412456,8.853866486929599,6.969069866619551,6.172224683767612,8.139368716955671,8.316549684766839,7.505438382436396
2010-07-01,8.550055908451345,8.02026225403995,7.276407629477725,8.788647341681664,6.9043492987927815,6.184441202618829,7.897734041960992,7.79103481181892,7.353096757225569
2010-08-01,8.106503005115517,7.887125553312756,7.080806521605133,8.608656586448259,6.959892276978147,6.297897195198496,7.835492462954664,7.818443210955964,7.417080916085562
2010-09-01,7.817390662457278,7.7987731842009875,6.959854238631397,8.510181888874582,6.915962681823043,6.70938054025894,7.630581114666383,7.869506383316512,7.4016772330595915
2010-10-01,7.936133270974622,7.699829915050047,7.267159533446063,8.721749140268729,6.679504436515014,7.1674804698555405,7.766216451203582,7.131082404515946,7.327151248285381
2010-11-01,8.571503296663245,8.204817828152875,8.301746804317268,9.474823318883422,7.584215535751738,8.488876075391765,8.539000804968643,7.587945428025647,8.514036757791336
2010-12-01,9.692701176601306,9.22539734596319,10.042594974162961,10.54904760748544,9.737762849313453,8.949936378854094,9.162134460714826,9.089139314362509,10.051601654267508
2011-01-01,9.830953331857314,9.875417113668718,10.866389600165398,10.785923794315233,10.759928109195316,8.863705975004795,9.01787303788766,10.341937572021408,9.938617468281684
2011-02-01,8.667586577237222,9.877258227744816,10.72015118851856,8.857689931406474,10.373063726181938,8.768625306897919,9.670107423108501,10.417201901471843,9.46806818580703
2011-03-01,6.881987547210834,9.591643521523515,10.446760893089046,9.524753268561213,9.617731339807024,8.403834159349639,9.666300674105877,10.12490436232281,8.418208020502934
2011-04-01,6.1527622585668595,9.00862567206068,9.65660463615915,9.309053501442106,8.941323930244716,7.838868643926053,9.070353343257057,9.247110944776727,7.668515421267571
2011-05-01,6.1686211783776566,8.391049258852807,8.828937520156947,8.787652186229254,8.40849953574522,7.335780725714629,8.484935072897693,8.402122851827661,7.126849500480076
2011-06-01,6.356011344683874,7.821498092256795,8.512357041978534,8.485323261391494,7.798651662343148,6.818341425124697,8.024141902717053,7.774235585838222,7.02197313174137
2011-07-01,6.738853498428831,7.8805579341518435,8.321730481847553,8.387655903484186,7.657302648246357,6.9532007010446115,7.927603772586981,7.620870721576473,7.273995966557934
2011-08-01,7.106560084195265,7.649082477713701,8.185849552678805,8.268247815885799,7.415293562888429,7.057296435583225,7.863745239924164,7.4446937786545,7.124929690237837
2011-09-01,7.0872579066838215,7.511467306361419,8.055764595508816,8.077986672684931,7.268497154575932,7.100605466972553,7.6094175500683745,7.3316849612842905,7.382167168769015
2011-10-01,7.3177406872501995,7.7067453555910275,8.05602419901529,8.243303950598758,7.06796103027789,7.393310348000307,7.761855855930603,7.401701251337517,7.465545892160691
2011-11-01,7.714169861536722,8.341332469437406,8.901056787923716,9.038436935443553,7.93139796837822,8.191878302282031,7.892366823133383,8.908193877039373,8.345682071874243
2011-12-01,8.590163967365903,9.308303716765009,9.630945657351775,9.653248286534703,10.156017081452406,9.146486022706004,8.96048280350836,9.919888977556768,9.617385923164337
2012-01-01,8.886849585719592,9.939728671749624,9.449978660288695,9.438745233363518,10.491451991448738,9.316354395311595,9.421515337894792,11.040718927147775,10.283156174930287
2012-02-01,8.769452156066224,10.011067847748448,9.478336784446732,8.23100117156296,10.78153594036141,9.325427873658347,9.427345254159183,9.552366230385557,10.12479755214706
2012-03-01,8.327598341939874,9.816342813794586,8.570938964462467,7.508490921790304,10.567003343650477,8.662825594076418,9.424569297493015,9.568520593818914,9.791604995962706
2012-04-01,8.008956450350567,9.30351576850648,7.6962630065822895,7.077235965016054,9.807897678031074,8.293177418307097,9.139471454824802,8.903989416732031,9.310484712022907
2012-05-01,7.294524687257099,8.645075445777588,7.052851350919642,6.68689646145526,9.160222448839491,7.4661919242250665,8.445835953408116,8.229303836753447,8.889376896067096
2012-06-01,7.096330777821687,8.256936618907206,6.882120389581915,6.412232041440316,8.724995629311017,7.080442351140671,8.31592628007145,8.192489186005202,8.433115194420205
2012-07-01,7.097376934822796,8.045866617390852,6.997749457890008,6.306559228067715,8.541863440142901,7.077497252101831,8.183057818722501,8.290754009086351,8.335910421209197
2012-08-01,7.2873598310374685,7.792584165997539,7.243888889807717,6.398286431119393,8.30322002146988,6.949206702852111,8.149013230218946,8.237664515532307,8.267401151028512
2012-09-01,7.297472603996046,7.761923652663425,7.186642696792803,6.503185696012442,8.367677183621018,6.8794265466417945,7.976778212493794,8.778351405068127,8.313535367895412
2012-10-01,7.487313233942343,8.149366269218094,7.177642236412841,6.685777003340727,8.09606908672238,7.002408283454951,7.862676346185889,9.889293393557258,8.480655572883421
2012-11-01,8.381559777901218,9.142282582512962,8.28791097778309,7.851236855612909,8.96402316376899,7.785376525523452,8.866023020326251,10.222448836546807,9.004918147741215
2012-12-01,9.760493165660213,9.773087918287562,9.736856364576104,9.15677106654024,9.942818328541028,9.49088513562973,9.450092198007038,9.967636221631745,9.599743748832834
2013-01-01,10.576896387909633,9.823264687546454,10.799969511613616,9.903415292193845,10.77762145231367,9.989025529439287,9.911985565601846,10.717110104476992,9.261374095847346
2013-02-01,10.237819894917076,9.472258434205736,10.383503036510746,9.939075742724851,10.511748262352617,9.802475302578962,9.78851481675338,10.640588992172686,9.157220686254659
2013-03-01,9.81831114866378,9.045199271824009,9.72999259951228,9.861149757961618,10.137198415805328,9.116003099670424,9.216699196722873,10.075646393729661,8.587798448959894
2013-04-01,9.300660449256329,8.862933954265495,8.965422132839338,9.172628066213985,9.469200940461086,8.216108406011843,8.808363521609241,9.421906791588953,7.7793390053010585
2013-05-01,8.568331324417102,8.393793575056607,8.239459128123201,8.400629382877058,8.670409787008433,7.77085393888213,8.435764819857978,8.454035849924361,7.130519269279829
2013-06-01,8.164378548338188,8.310615010520229,7.700784589587425,8.089924538733486,8.025686773085097,7.347239995399393,8.134174694756974,8.115082765668651,7.041801507427407
2013-07-01,8.000192931441745,8.424134804708636,7.432144374844808,8.029704273693056,7.889285481256494,7.238836802561558,8.027570677661723,8.36004872513803,7.112953762500358
2013-08-01,7.852296812247182,8.187703007109514,7.186196251615673,7.933239984609897,7.771444164113457,7.270526396216737,8.038416665295545,7.536677615758153,7.163919675945636
2013-09-01,7.682272119121863,8.228969989413615,7.151610939852247,7.7828182096493475,7.581977018045616,7.10380384463947,7.951091636199522,7.184138076964104,7.192416576158609
2013-10-01,7.764876630366277,8.390811882625625,7.131228412705281,8.019283372439359,7.38875761535697,7.31660947705064,8.02669790823577,8.146707751595317,7.779417671867898
2013-11-01,8.474256953947709,9.180480396373598,7.9850900831710625,8.80324725681692,8.210516675516095,8.190215563716231,8.644568107981064,9.837565851015981,7.955526711054168
2013-12-01,9.85616735812956,10.383331827627124,9.299149158017087,9.804334734774054,10.043053491416178,9.245230464438565,9.352656399671645,10.383188060389543,8.87035938187572
2014-01-01,9.96467427717424,10.171933771512482,9.676406886843742,10.1500961281246,10.748020709339867,9.61613721746941,9.880569317997708,9.905878669900977,9.63949187696279
2014-02-01,9.713737039582373,9.680852674008113,9.530229469055667,10.31225509788361,11.067489983938014,9.717493259540804,10.168991761557107,9.833470986982586,9.65557975097169
2014-03-01,9.381436869380039,9.233448182959217,9.563497078085883,10.240864127878359,10.741763695044057,9.843552455047345,9.987470247979257,9.041033947251886,9.223778364200237
2014-04-01,8.829596319443286,8.620744154153156,9.064957484810718,9.664816926464127,10.196556717627825,9.42622662079715,9.492472140963814,8.203337874432682,8.78955430590493
2014-05-01,8.086028493476144,7.982969324348197,8.27431147387866,8.925157456182491,9.6287147737209,8.57531907491108,8.74060272911723,7.605480606150532,8.07316987387169
2014-06-01,7.7021992013923795,7.685549793319982,7.955241863639097,8.552762023657538,9.214792121172783,8.114859813362173,8.404384346386932,6.804424283640089,7.56876961904499
2014-07-01,7.4480893168720845,7.747250684827789,7.763812626989147,8.343892399375695,8.86544600980288,7.998390284048868,8.182816376049784,6.680636590129031,7.486716377358075
2014-08-01,7.367903346414541,7.599065751742144,7.534968445201584,8.192694931974131,8.509977299824458,7.815124010913312,7.953480363414644,6.586439485039395,7.442958364029367
2014-09-01,7.269187455309429,7.742609304050819,7.305282589306035,7.813522277893795,8.2080659835744,7.65849610903278,7.876460318553491,6.2535099124906175,7.381635748992537
2014-10-01,7.435739896236688,7.939074947769452,7.003271906034657,7.783805108328456,8.43536325179769,7.573799183633175,8.846893481088252,6.677176655509273,7.563191989703735
2014-11-01,8.82965706078293,8.691135257556327,8.215134334334417,8.649799473487308,9.07027109677846,8.689557921914238,9.162679058254461,8.663401615571379,8.472202413203284
2014-12-01,9.909193229147746,9.653428002466988,9.201123283052553,9.877110937986696,9.352004742597993,10.405293960826107,10.366804140023172,9.356468055683306,9.572343017667704
2015-01-01,10.128509682218152,10.23912503029065,9.738296373766877,10.175419002461599,9.567289792939624,10.953669346173742,10.563508415365881,8.585432090367199,9.550629869950555
2015-02-01,9.674317921953275,9.899882036104527,9.917687170137668,10.259949378346887,9.605210137990193,10.680000859333548,10.343209145697578,8.069776281587174,9.400027905212497
