,CESM2-WACCM_r2i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,CanESM5-CanOE-r1i1p2f1,GFDL-ESM4-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1
2016-01-01,5.7635777489975215,5.122705601292099,5.893333982146556,5.288142862865489,6.416102321197412,5.872501349195738,5.488859998235512,5.746400299060714,5.785034012058293
2016-02-01,5.834496319806124,4.8644522950907145,5.614458809261421,5.162627649927464,6.069387882791407,5.896710396881561,5.225079030959612,5.260935986081746,5.573533841341907
2016-03-01,5.701151384324524,4.573588272835362,5.398352077313393,4.859906856522249,5.8112821127235845,5.6645604372282765,5.053482572597915,4.642927976111309,5.302345506128621
2016-04-01,5.619055489174172,4.498653259245021,5.096103649058475,4.626595516086459,5.5320811738393845,5.395967551373554,4.917919225311682,4.479200290579731,5.188588975171974
2016-05-01,5.669747268848988,4.680262382586493,5.033189785762605,4.862452741626182,5.405089331077896,5.3747007324743015,4.786137636616459,4.463643029903626,5.199058866172843
2016-06-01,5.669971439856592,4.742895235524252,5.18477003507683,4.938204620139208,5.423376169986223,5.575021076116982,4.8049588282428175,4.686510259019765,5.120560795088625
2016-07-01,5.81658985525586,4.941567831346792,5.377597184923563,5.033650677976572,5.6079241414238465,5.872660112700366,5.044538471143973,5.073876000474723,5.3286497686451835
2016-08-01,6.106734346096202,5.345672388604061,5.613795681861824,5.404347949925089,5.955807502648512,6.1840761161744116,5.468555912407441,5.385824952961184,5.60451270575089
2016-09-01,6.215611413739591,5.515567938328286,5.707619273408612,5.499820530278415,5.9831167860675825,6.190372180524322,5.545569261786073,5.500991016070051,5.674366949482482
2016-10-01,6.331518729696767,5.639216640077628,5.823026785229763,5.56036921356588,5.9006419055886425,5.948346008385589,5.4734891631621085,5.878851513303827,5.69264775487644
2016-11-01,6.050487519643941,5.6870921168677855,5.893281153882395,5.4628323725805865,6.138010679712621,5.97776083991117,5.313908730970444,6.030981975428195,5.673712757049255
2016-12-01,5.842567768257156,5.352716708199951,6.088790716481802,5.345397189331417,6.0091034234109975,5.637398107986665,5.459890549930301,5.9272231394075945,5.625913848477493
2017-01-01,5.497758338819426,5.248237783916089,6.183545944134544,5.256222436515022,5.300705126971714,5.843001309154488,5.709908986607823,5.704967460134514,5.5588141315028325
2017-02-01,5.397889498812272,5.706992628729128,6.187596851083628,5.078730706129679,4.920428863404246,5.6042389361524165,5.503009341923857,5.751186721998721,5.387790755487389
2017-03-01,5.349077780332578,5.538528499813218,6.118901891203457,4.957293552954668,5.115189363828054,5.5728638314894905,5.3512296523392235,5.793584167110495,5.371848397662456
2017-04-01,5.210899057735204,5.428696423625176,5.9558253989689565,4.81257900324005,5.1027603145850655,5.394659154460668,5.141986258415599,5.726457015313748,5.352559524500867
2017-05-01,5.294296523341743,5.26650511162214,5.952102358245366,4.703788453313273,4.974596500548001,5.315087237084848,5.179149921834997,5.626431609457007,5.457310374382875
2017-06-01,5.376788918326727,5.292490428300451,5.923473680465447,4.767153926700266,5.025030336112796,5.289519763531444,5.182472464999729,5.662001624924122,5.493527881090801
